entity_relevance,entity_sentiment,entity_ticker,harvested_at,story_id
100.0,-21.8,TXRH,2017-12-01T03:38:24.698Z,5a20ce9ea656f257016b0fae
100.0,-21.8,TXRH,2017-12-01T03:38:24.698Z,5a20ce9ea656f257016b0fae
100.0,51.0,RRGB,2017-12-01T03:33:41.188Z,5a20cd88a656f230eb6b0f51
100.0,51.0,RRGB,2017-12-01T03:33:41.188Z,5a20cd88a656f230eb6b0f51
100.0,51.0,RRGB,2017-12-01T03:33:41.188Z,5a20cd88a656f230eb6b0f51
100.0,51.0,RRGB,2017-12-01T03:33:41.188Z,5a20cd88a656f230eb6b0f51
100.0,51.0,RRGB,2017-12-01T03:33:41.188Z,5a20cd88a656f230eb6b0f51
100.0,51.0,RRGB,2017-12-01T03:33:41.188Z,5a20cd88a656f230eb6b0f51
100.0,51.0,RRGB,2017-12-01T03:33:41.188Z,5a20cd88a656f230eb6b0f51
100.0,51.0,RRGB,2017-12-01T03:33:41.188Z,5a20cd88a656f230eb6b0f51
100.0,51.0,RRGB,2017-12-01T03:33:41.188Z,5a20cd88a656f230eb6b0f51
100.0,51.0,RRGB,2017-12-01T03:33:41.188Z,5a20cd88a656f230eb6b0f51
100.0,45.6,DPZ,2017-12-01T03:33:41.188Z,5a20cd88a656f230eb6b0f51
100.0,45.6,DPZ,2017-12-01T03:33:41.188Z,5a20cd88a656f230eb6b0f51
100.0,45.6,DPZ,2017-12-01T03:33:41.188Z,5a20cd88a656f230eb6b0f51
100.0,45.6,DPZ,2017-12-01T03:33:41.188Z,5a20cd88a656f230eb6b0f51
100.0,45.6,DPZ,2017-12-01T03:33:41.188Z,5a20cd88a656f230eb6b0f51
100.0,45.6,DPZ,2017-12-01T03:33:41.188Z,5a20cd88a656f230eb6b0f51
100.0,,TXRH,2017-12-01T03:33:39.166Z,5a20cd88a656f230eb6b0f56
100.0,,TXRH,2017-12-01T03:33:39.166Z,5a20cd88a656f230eb6b0f56
100.0,19.1,SBUX,2017-12-01T03:19:04.234Z,5a20ca21a656f22dfd534144
100.0,19.1,SBUX,2017-12-01T03:19:04.234Z,5a20ca21a656f22dfd534144
100.0,-23.1,CMG,2017-12-01T03:17:12.903Z,5a20c9aba656f21d2e6b0f59
100.0,-23.1,CMG,2017-12-01T03:17:12.903Z,5a20c9aba656f21d2e6b0f59
100.0,-23.1,CMG,2017-12-01T03:17:12.903Z,5a20c9aba656f21d2e6b0f59
100.0,-23.1,CMG,2017-12-01T03:17:12.903Z,5a20c9aba656f21d2e6b0f59
